Cl_abscissa,Cl_cdf,Q_abscissa,Q_cdf,split
5.24621,0.061,1.69629,0.0611429,All
5.24633,0.0611429,1.70419,0.0612857,All
5.24831,0.0612857,1.70516,0.0614286,All
5.25198,0.0614286,1.70739,0.0615714,All
5.25267,0.0615714,1.71788,0.0617143,All
5.25304,0.0617143,1.7244,0.0618571,All
5.25463,0.0618571,1.72697,0.062,All
5.2547,0.062,1.72697,0.0621429,All
5.2547,0.0621429,1.72734,0.0622857,All
5.25569,0.0622857,1.73653,0.0624286,All
5.25693,0.0624286,1.73746,0.0625714,All
5.25693,0.0625714,1.74372,0.0627143,All
5.2577,0.0627143,1.74372,0.0628571,All
5.26008,0.0628571,1.75089,0.063,All
5.26097,0.063,1.75089,0.0631429,All
5.26097,0.0631429,1.7521,0.0632857,All
5.26637,0.0632857,1.75744,0.0634286,All
5.27241,0.0634286,1.76106,0.0635714,All
5.27374,0.0635714,1.76106,0.0637143,All
5.27459,0.0637143,1.76318,0.0638571,All
5.27621,0.0638571,1.76757,0.064,All
5.27702,0.064,1.77014,0.0641429,All
5.27909,0.0641429,1.77027,0.0642857,All
5.28145,0.0642857,1.78311,0.0644286,All
5.28196,0.0644286,1.79,0.0645714,All
5.28619,0.0645714,1.79,0.0647143,All
5.2883,0.0647143,1.79107,0.0648571,All
5.28851,0.0648571,1.81474,0.065,All
5.29776,0.065,1.81645,0.0651429,All
5.30343,0.0651429,1.81672,0.0652857,All
5.30343,0.0652857,1.81672,0.0654286,All
5.30871,0.0654286,1.81999,0.0655714,All
5.30973,0.0655714,1.82766,0.0657143,All
5.31912,0.0657143,1.83453,0.0658571,All
5.32475,0.0658571,1.84107,0.066,All
5.32536,0.066,1.84251,0.0661429,All
5.3293,0.0661429,1.8491,0.0662857,All
5.32988,0.0662857,1.8491,0.0664286,All
5.33917,0.0664286,1.8491,0.0665714,All
5.3399,0.0665714,1.8491,0.0667143,All
5.34338,0.0667143,1.85054,0.0668571,All
5.3504,0.0668571,1.85312,0.067,All
5.3504,0.067,1.85734,0.0671429,All
5.35146,0.0671429,1.85875,0.0672857,All
5.352,0.0672857,1.86218,0.0674286,All
5.36206,0.0674286,1.86292,0.0675714,All
5.36497,0.0675714,1.87082,0.0677143,All
5.36789,0.0677143,1.87443,0.0678571,All
5.368,0.0678571,1.87443,0.068,All
5.36972,0.068,1.87443,0.0681429,All
5.37438,0.0681429,1.87814,0.0682857,All
5.37525,0.0682857,1.88084,0.0684286,All
5.38358,0.0684286,1.89915,0.0685714,All
5.38794,0.0685714,1.90045,0.0687143,All
5.38913,0.0687143,1.9088,0.0688571,All
5.39327,0.0688571,1.91427,0.069,All
5.3964,0.069,1.92121,0.0691429,All
5.41714,0.0691429,1.92121,0.0692857,All
5.41995,0.0692857,1.92384,0.0694286,All
5.42282,0.0694286,1.92429,0.0695714,All
5.42563,0.0695714,1.92683,0.0697143,All
5.42854,0.0697143,1.93291,0.0698571,All
5.42941,0.0698571,1.94544,0.07,All
5.43207,0.07,1.95128,0.0701429,All
5.43626,0.0701429,1.95478,0.0702857,All
5.43734,0.0702857,1.95766,0.0704286,All
5.43873,0.0704286,1.96375,0.0705714,All
5.44296,0.0705714,1.96835,0.0707143,All
5.50998,0.0707143,1.96835,0.0708571,All
5.51304,0.0708571,1.96835,0.071,All
5.5163,0.071,1.96835,0.0711429,All
5.52098,0.0711429,1.97418,0.0712857,All
5.54247,0.0712857,1.97418,0.0714286,All
5.57129,0.0714286,1.9815,0.0715714,All
6.03768,0.0715714,1.98774,0.0717143,All
6.06859,0.0717143,1.98774,0.0718571,All
6.15695,0.0718571,1.9963,0.072,All
6.28578,0.072,1.99809,0.0721429,All
6.32926,0.0721429,2.00363,0.0722857,All
6.38225,0.0722857,2.00546,0.0724286,All
6.38225,0.0724286,2.00546,0.0725714,All
6.38331,0.0725714,2.00892,0.0727143,All
6.39363,0.0727143,2.01158,0.0728571,All
6.4108,0.0728571,2.01158,0.073,All
6.41151,0.073,2.02725,0.0731429,All
6.41151,0.0731429,2.03111,0.0732857,All
6.41662,0.0732857,2.03709,0.0734286,All
6.42019,0.0734286,2.03709,0.0735714,All
6.43473,0.0735714,2.03709,0.0737143,All
6.43473,0.0737143,2.03709,0.0738571,All
6.43473,0.0738571,2.03709,0.074,All
6.45673,0.074,2.03775,0.0741429,All
6.46179,0.0741429,2.03803,0.0742857,All
6.46971,0.0742857,2.03803,0.0744286,All
6.48949,0.0744286,2.03803,0.0745714,All
6.49286,0.0745714,2.04454,0.0747143,All
6.50565,0.0747143,2.04454,0.0748571,All
6.51156,0.0748571,2.04557,0.075,All
6.51156,0.075,2.04709,0.0751429,All
6.51287,0.0751429,2.05161,0.0752857,All
6.51287,0.0752857,2.05161,0.0754286,All
6.52141,0.0754286,2.05161,0.0755714,All
6.52141,0.0755714,2.0602,0.0757143,All
6.52536,0.0757143,2.06604,0.0758571,All
6.53029,0.0758571,2.07255,0.076,All
6.55216,0.076,2.07981,0.0761429,All
6.55909,0.0761429,2.09503,0.0762857,All
6.56025,0.0762857,2.09975,0.0764286,All
6.56237,0.0764286,2.11233,0.0765714,All
6.56516,0.0765714,2.11233,0.0767143,All
6.56899,0.0767143,2.11466,0.0768571,All
