iteration,convergenceIndicator,phase,Cl_pop,Q_pop,V1_pop,V2_pop,a1,b1,b2,f_pop,omega_Cl,omega_Q,omega_V1,omega_V2,omega_f
165,835.232,1,9.91548,12.4559,47.0063,51.0597,2.22045e-16,0.103985,0.158252,0.964735,0.261823,0.368487,0.139783,1.22594,0.257577
166,839.758,1,9.89629,12.3248,45.7979,50.7914,2.22045e-16,0.104823,0.164131,0.952412,0.265459,0.359157,0.14215,1.22785,0.260782
167,845.957,1,9.90764,12.0032,47.0319,54.8123,2.22045e-16,0.105045,0.166628,0.967141,0.272105,0.356823,0.149803,1.20495,0.254179
168,844.989,1,9.83626,11.8842,47.2697,53.6138,2.22045e-16,0.102422,0.163727,0.950548,0.270097,0.402069,0.165765,1.26475,0.254606
169,844.249,1,9.88167,13.0178,45.5931,54.1941,2.22045e-16,0.105322,0.165216,0.942004,0.277414,0.391888,0.162793,1.23893,0.248159
170,852.165,1,9.81132,12.7282,47.17,56.3746,2.22045e-16,0.10508,0.169995,0.942952,0.279475,0.394134,0.158671,1.26642,0.241876
171,841.769,1,9.72507,12.2637,47.0769,60.2063,2.22045e-16,0.102799,0.16324,0.946409,0.272398,0.384154,0.170872,1.23436,0.257266
172,841.715,1,9.72208,12.884,47.5538,60.007,2.22045e-16,0.104185,0.166515,0.933595,0.278676,0.374427,0.166546,1.2031,0.256324
173,843.911,1,9.68141,12.0691,46.6003,62.7386,2.22045e-16,0.105227,0.167632,0.931162,0.278652,0.364946,0.162329,1.18704,0.249834
174,848.926,1,9.68066,11.4465,47.0784,61.572,2.22045e-16,0.105253,0.169354,0.948861,0.28075,0.355706,0.15941,1.22269,0.244774
175,849.063,1,9.6944,11.6058,47.3197,62.1435,2.22045e-16,0.10454,0.169125,0.935997,0.274482,0.346699,0.178179,1.19173,0.271045
176,836.899,1,9.60601,10.8088,47.5361,63.0517,2.22045e-16,0.100503,0.165006,0.937139,0.28135,0.33792,0.183721,1.18228,0.264182
177,828.663,1,9.73878,11.244,46.2659,54.2111,2.22045e-16,0.0961377,0.163072,0.950213,0.288218,0.329364,0.18569,1.28989,0.264193
178,845.153,1,9.73918,12.2733,46.944,50.6687,2.22045e-16,0.102212,0.164615,0.960847,0.28092,0.32222,0.180988,1.33742,0.261721
179,843.479,1,9.75703,11.8388,47.5077,51.7586,2.22045e-16,0.102319,0.169607,0.936779,0.273807,0.314062,0.180174,1.35112,0.257
180,852.853,1,9.69562,12.354,46.5277,56.1305,2.22045e-16,0.102228,0.1745,0.936965,0.268777,0.329221,0.175612,1.31691,0.270819
