iteration,convergenceIndicator,phase,Cl_pop,Q_pop,V1_pop,V2_pop,a1,a2,b1,b2,f_pop,omega_Cl,omega_Q,omega_V1,omega_V2,omega_f
96,855.828,1,9.97838,12.8948,43.7667,41.1416,2.22045e-16,0.49041,0.108724,0.123863,0.96189,0.249042,0.684691,0.120926,0.931127,0.245914
97,856.724,1,10.0036,14.5482,44.2371,41.9776,2.22045e-16,0.391617,0.112053,0.130848,0.951547,0.242736,0.667354,0.117864,0.907551,0.248995
98,865.755,1,9.9188,12.9514,43.3778,39.4701,2.22045e-16,0.38242,0.114725,0.138338,0.931322,0.248637,0.650456,0.11488,0.884571,0.24269
99,865.539,1,9.93292,13.3921,43.8648,40.795,2.22045e-16,0.47635,0.113693,0.125924,0.947507,0.244046,0.633986,0.130325,0.924928,0.239411
100,864.415,1,9.98591,12.7098,44.0891,38.3158,2.22045e-16,0.445502,0.112233,0.130482,0.949497,0.237867,0.617933,0.135528,0.901508,0.252104
101,860.562,1,9.97705,11.3611,44.383,42.4033,2.22045e-16,0.489481,0.11453,0.123828,0.944398,0.231844,0.602287,0.138745,0.887046,0.245721
102,870.768,1,10.0059,11.2258,44.071,41.9547,2.22045e-16,0.499041,0.110276,0.134139,0.954569,0.233245,0.592908,0.14552,0.937441,0.24218
103,865.986,1,9.96691,11.3555,43.9796,42.3876,2.22045e-16,0.450051,0.111486,0.13518,0.952684,0.228362,0.577895,0.141835,0.973755,0.242266
104,866.526,1,9.94081,11.4273,44.3955,38.5298,2.22045e-16,0.412513,0.112495,0.129453,0.960972,0.22258,0.618346,0.145743,0.985925,0.249533
105,863.641,1,9.99148,11.0226,44.7262,38.8948,2.22045e-16,0.412206,0.113563,0.132378,0.957509,0.225248,0.602689,0.142053,0.960961,0.243215
106,872.443,1,9.98745,10.9359,43.8657,36.781,2.22045e-16,0.303071,0.117814,0.141877,0.956239,0.230156,0.623333,0.138456,0.936629,0.265889
107,870.337,1,10.0194,11.9406,43.6931,43.7013,2.22045e-16,0.281769,0.118103,0.138306,0.967936,0.23514,0.667869,0.13495,0.927009,0.263766
108,863.524,1,10.0138,11.8934,43.7549,42.0262,2.22045e-16,0.370961,0.114541,0.134101,0.953048,0.231234,0.650958,0.131533,0.903537,0.261007
109,860.901,1,10.0623,12.2932,44.6524,38.8705,2.10942e-16,0.424257,0.108814,0.135723,0.9595,0.24452,0.634475,0.14872,0.90834,0.254398
110,865.128,1,10.0974,12.2512,44.2332,33.2775,2.22045e-16,0.430611,0.109199,0.140445,0.950617,0.238329,0.61841,0.144954,0.980643,0.257343
111,861.431,1,10.1023,13.451,44.1516,36.7256,2.22045e-16,0.35804,0.106628,0.142029,0.964204,0.232699,0.602752,0.1523,0.955813,0.259978
112,861.607,1,10.0199,13.4763,44.5222,37.6234,2.22045e-16,0.333743,0.107388,0.140137,0.953155,0.245684,0.58749,0.148444,0.94007,0.258329
113,864.931,1,10.0113,13.7036,42.5686,41.0927,2.22045e-16,0.313113,0.108683,0.141028,0.958504,0.243344,0.577412,0.157899,0.916267,0.253197
114,865.942,1,10.0379,13.514,42.6302,40.7947,2.22045e-16,0.371541,0.11007,0.137452,0.97482,0.240617,0.59488,0.157983,0.893067,0.246786
115,854.861,1,10.1099,12.8061,42.4484,42.0328,2.22045e-16,0.458391,0.106454,0.132041,0.952899,0.234524,0.643304,0.153983,0.870454,0.250524
116,851.609,1,10.0978,14.1076,42.2665,40.3209,2.22045e-16,0.434181,0.105175,0.131655,0.95345,0.230558,0.67798,0.150084,0.848413,0.260185
117,852.955,1,10.0499,13.5001,41.8969,37.2996,2.22045e-16,0.484637,0.105413,0.127216,0.95681,0.233863,0.74855,0.146284,0.826931,0.254804
118,853.729,1,10.1085,14.2917,42.552,37.6468,2.22045e-16,0.38893,0.110713,0.129311,0.952012,0.234952,0.731247,0.14258,0.805993,0.261829
119,857.815,1,10.1746,15.3505,43.279,39.0736,2.22045e-16,0.492369,0.10971,0.122928,0.971224,0.249526,0.764081,0.138969,0.785585,0.260401
120,856.891,1,10.1605,14.1372,42.7285,37.9294,2.22045e-16,0.497964,0.10888,0.127522,0.959295,0.243208,0.744734,0.135451,0.786684,0.256284
121,846.579,1,10.0915,13.2643,42.2952,39.675,2.22045e-16,0.414398,0.103685,0.134677,0.965294,0.241313,0.725877,0.132021,0.783555,0.256845
122,849.732,1,10.1573,13.6949,42.5108,41.2608,2.22045e-16,0.42134,0.106709,0.134479,0.964719,0.250054,0.707497,0.128678,0.763715,0.255363
123,853.75,1,10.0991,14.4074,42.004,40.1057,2.22045e-16,0.354406,0.105953,0.143283,0.963223,0.248407,0.69922,0.12542,0.744377,0.259254
124,844.546,1,10.0706,14.1874,41.8648,38.6616,2.22045e-16,0.38343,0.106529,0.134723,0.955804,0.244334,0.681515,0.122244,0.788353,0.261227
125,845.829,1,10.2064,13.1205,41.8824,37.0579,2.22045e-16,0.311787,0.106654,0.138427,0.981871,0.240804,0.690132,0.119149,0.80753,0.257711
126,842.467,1,10.08,13.7785,41.8497,38.027,2.22045e-16,0.304708,0.106203,0.138683,0.958958,0.249676,0.683483,0.116132,0.787082,0.270066
127,846.071,1,10.1004,13.1371,43.0208,39.6195,2.22045e-16,0.346703,0.105943,0.133873,0.960778,0.245645,0.788152,0.113191,0.767153,0.268359
128,852.199,1,10.1083,12.6516,43.0094,40.1295,2.22045e-16,0.338506,0.107226,0.136413,0.962546,0.247673,0.874563,0.110325,0.820895,0.261564
129,858.13,1,10.0342,13.7374,43.1616,45.914,2.22045e-16,0.374611,0.110234,0.133232,0.96366,0.255023,0.855089,0.107532,0.814988,0.258859
130,866.091,1,9.99325,13.0309,42.7716,45.1451,2.22045e-16,0.42205,0.110323,0.138936,0.93343,0.248566,0.88079,0.10557,0.794352,0.256167
131,855.938,1,10.0558,13.925,43.1474,45.5035,2.22045e-16,0.346869,0.109162,0.136652,0.947947,0.242606,0.978363,0.102897,0.774238,0.259521
132,854.983,1,10.0403,12.9634,42.5781,40.5991,2.22045e-16,0.267195,0.105544,0.14588,0.957576,0.239369,0.95359,0.107196,0.754634,0.260804
133,855.946,1,10.0859,12.2149,42.5408,39.4684,2.22045e-16,0.253835,0.112655,0.138586,0.945371,0.249819,0.929445,0.110964,0.735527,0.254438
134,863.307,1,10.0804,13.7835,42.3134,40.6605,2.22045e-16,0.328743,0.115722,0.137967,0.951065,0.26035,0.905911,0.110049,0.716903,0.251048
135,851.195,1,10.1077,13.4954,43.3405,43.0277,2.10942e-16,0.546604,0.109936,0.122307,0.961199,0.253758,0.882973,0.107262,0.69875,0.250964
136,848.669,1,10.0382,13.5574,43.0278,42.5374,2.22045e-16,0.535539,0.105711,0.122999,0.966582,0.247333,0.860615,0.106742,0.681057,0.244712
137,837.462,1,10.0996,12.6612,43.2585,43.2321,2.22045e-16,0.504347,0.103483,0.122652,0.962534,0.242794,0.845447,0.104039,0.76624,0.242441
