iteration,convergenceIndicator,phase,Cl_pop,V1_pop,Q_pop,V2_pop,omega_Cl,omega_V1,omega_Q,omega_V2,corr_V2_V1,a1,a2
193,704.3,1,5.58019,19.2113,7.60683,24.1522,0.133121,0.296441,0.592809,0.317883,0.999,0.279331,0.0579804
194,698.872,1,5.56406,19.2153,7.33789,24.1844,0.135948,0.295821,0.577799,0.317397,0.999,0.272592,0.0581493
195,701.17,1,5.56176,19.2458,7.63591,24.2274,0.132506,0.296976,0.563169,0.317055,0.998886,0.272625,0.0578495
196,704.976,1,5.60102,19.2372,7.98604,24.29,0.12941,0.299106,0.552492,0.31775,0.998937,0.272713,0.0589059
197,704.962,1,5.60908,19.2567,7.96975,24.3531,0.126208,0.303376,0.557446,0.321098,0.999,0.274926,0.0593049
198,706.039,1,5.58882,19.2505,7.97774,24.274,0.129711,0.305799,0.577945,0.322947,0.998993,0.275801,0.0580711
199,709.918,1,5.60525,19.2404,7.90654,24.3577,0.129484,0.303854,0.563311,0.317043,0.998864,0.273611,0.0597729
200,705.925,1,5.62295,19.2402,7.732,24.3152,0.127087,0.304928,0.555645,0.32052,0.998953,0.272977,0.0590645
201,705.073,1,5.5919,19.1181,8.0687,24.1496,0.125395,0.310994,0.542875,0.326099,0.999,0.269749,0.0600327
202,704.478,1,5.61358,19.0776,8.16123,24.0833,0.127438,0.314422,0.538719,0.32898,0.999,0.271452,0.0589311
203,702.954,1,5.61654,19.1507,7.9482,24.2226,0.130814,0.318511,0.525078,0.334137,0.999,0.269037,0.059601
204,700.715,1,5.57689,18.9741,7.8363,23.9599,0.127502,0.310446,0.518107,0.325677,0.998769,0.272531,0.0580919
205,696.723,1,5.59387,19.0397,7.6565,23.995,0.126414,0.303538,0.509224,0.31743,0.998972,0.276004,0.056671
206,702.496,1,5.58253,18.9652,7.6183,23.9616,0.129097,0.304632,0.496414,0.317412,0.999,0.271275,0.0599614
207,709.023,1,5.60351,18.9398,8.07263,24.0117,0.125833,0.304554,0.494339,0.313511,0.998598,0.268351,0.0610787
208,707.642,1,5.60091,18.9001,8.03764,24.0296,0.125171,0.30304,0.541125,0.312512,0.998761,0.27541,0.0595322
209,700.685,1,5.60325,18.8239,8.20324,23.9168,0.13017,0.304514,0.534023,0.31382,0.999,0.271249,0.0596394
210,704.639,1,5.60102,18.8752,8.25039,23.9306,0.130654,0.303812,0.520501,0.310831,0.999,0.276152,0.0597978
211,707.889,1,5.62341,18.652,8.04786,23.5805,0.135184,0.304718,0.507322,0.311961,0.999,0.274998,0.0608564
212,709.489,1,5.60592,18.5329,8.38382,23.3986,0.133606,0.301449,0.510127,0.307225,0.998784,0.274448,0.0599499
213,704.79,1,5.60533,18.4888,8.14283,23.3204,0.133203,0.300453,0.49721,0.306439,0.999,0.274066,0.0601911
214,706.611,1,5.56328,18.5013,8.33199,23.3292,0.12983,0.300749,0.484621,0.305841,0.999,0.275271,0.0608941
215,705.726,1,5.5857,18.5581,8.44487,23.4459,0.132079,0.304495,0.492249,0.309168,0.999,0.275199,0.0603431
