iteration,convergenceIndicator,phase,Cl_pop,Q_pop,V1_pop,V2_pop,a1,a2,corr_V2_V1,omega_Cl,omega_Q,omega_V1,omega_V2
134,875.423,1,9.31612,9.30818,46.3242,135.742,0.308068,0.0672906,0.456554,0.238778,0.448156,0.262939,0.79516
135,874.214,1,9.34033,9.3163,46.7552,140.572,0.301003,0.0686026,0.458078,0.240272,0.463357,0.251794,0.785749
136,884.043,1,9.30343,9.55349,45.7929,135.075,0.300709,0.0725804,0.520615,0.234723,0.484377,0.261343,0.749924
137,878.97,1,9.38398,9.40328,44.6746,129.247,0.303051,0.0701571,0.534257,0.237014,0.472459,0.256184,0.783333
138,873.985,1,9.3753,9.28409,44.7851,123.721,0.309221,0.0659161,0.525927,0.238055,0.513983,0.249665,0.817206
139,872.352,1,9.3365,9.41633,44.5018,124.077,0.303135,0.0677537,0.570469,0.233555,0.494675,0.242507,0.826129
140,874.935,1,9.36246,9.20841,44.8904,118.527,0.305415,0.0662731,0.537399,0.240143,0.521506,0.263464,0.828102
141,880.65,1,9.49601,9.37752,44.6844,106.968,0.303802,0.0675304,0.46241,0.238171,0.510679,0.270927,0.881736
142,880.784,1,9.3884,9.19521,44.8132,114.831,0.306583,0.0671172,0.406846,0.239626,0.512254,0.272306,0.830664
143,878.774,1,9.42648,9.3001,45.7321,119.434,0.307701,0.0661564,0.317996,0.251216,0.494279,0.274762,0.785762
144,870.326,1,9.53291,9.33476,45.5858,108.222,0.30243,0.0663364,0.406179,0.248345,0.446161,0.261503,0.784486
145,871.175,1,9.61318,9.81226,44.0414,105.619,0.307081,0.065677,0.491452,0.248779,0.467113,0.254398,0.802063
146,869.176,1,9.53886,9.83006,44.8525,106.151,0.304816,0.0658379,0.544093,0.246857,0.434414,0.258581,0.854988
147,867.11,1,9.54722,9.61505,44.549,104.07,0.304275,0.0646034,0.456946,0.251886,0.451936,0.257737,0.815987
148,869.648,1,9.56106,9.78117,44.5721,100.192,0.307212,0.064572,0.464007,0.251711,0.453291,0.255402,0.848497
