iteration,convergenceIndicator,phase,Cl_pop,Q_pop,V1_pop,V2_pop,b1,b2,f_pop,omega_Cl,omega_Q,omega_V1,omega_V2,omega_f
138,841.203,1,9.68162,10.5035,47.9002,86.4886,0.0967004,0.17279,0.957652,0.261595,0.413635,0.208973,1.09723,0.262018
139,844.625,1,9.56011,10.9213,47.8316,95.4166,0.0979586,0.169756,0.950911,0.256129,0.41477,0.203682,1.08741,0.262039
140,841.498,1,9.70348,10.481,47.8373,81.0918,0.098133,0.171735,0.950682,0.253979,0.43244,0.198524,1.12116,0.267676
141,837.668,1,9.81982,10.8148,48.3957,85.1461,0.0991486,0.17053,0.953163,0.247548,0.42149,0.193498,1.09411,0.272381
142,838.516,1,9.77198,10.6971,48.9561,79.6179,0.102171,0.165753,0.953448,0.243836,0.410818,0.188598,1.08898,0.265484
143,849.914,1,9.7571,11.2073,48.1773,75.7732,0.100463,0.169909,0.960256,0.252912,0.437244,0.183823,1.13395,0.258762
144,852.79,1,9.95641,11.3026,48.3137,75.6439,0.10167,0.177856,0.953091,0.256073,0.479707,0.179168,1.10524,0.259359
145,852.459,1,9.84735,10.8827,48.4609,70.1483,0.10438,0.168963,0.951927,0.249589,0.485474,0.174632,1.12772,0.254096
146,855.143,1,9.90357,10.6659,48.0142,75.0376,0.106695,0.171126,0.940741,0.244527,0.517476,0.17021,1.09917,0.257129
147,847.057,1,9.87515,9.95805,48.1203,79.3968,0.102815,0.1701,0.969281,0.250027,0.504373,0.1659,1.07134,0.258349
148,847.265,1,9.86065,9.90158,49.3011,80.4315,0.105888,0.165939,0.948759,0.251577,0.491602,0.163844,1.04421,0.264203
149,854.717,1,9.87993,10.0122,48.8815,81.2,0.106157,0.168013,0.952125,0.250428,0.479155,0.181438,1.06584,0.257513
150,851.488,1,9.94876,10.1026,48.7026,76.5899,0.106969,0.174736,0.944452,0.244087,0.467022,0.176844,1.03885,0.251621
151,843.613,1,9.91655,10.0086,47.7283,75.7628,0.103711,0.172246,0.957056,0.249748,0.462655,0.172366,1.01255,0.24525
152,848.354,1,9.90533,10.0881,47.2118,65.8792,0.0985257,0.181092,0.963839,0.249369,0.45094,0.168002,1.05577,0.243975
153,840.974,1,9.84367,9.47174,47.5749,67.864,0.0971278,0.172799,0.944449,0.270281,0.439522,0.165655,1.03897,0.263793
154,851.889,1,9.81106,9.84029,46.971,64.7214,0.100423,0.168977,0.953104,0.272396,0.462391,0.180915,1.02143,0.262666
155,850.395,1,9.8555,10.1425,46.4238,63.8848,0.0983015,0.17573,0.945771,0.265499,0.47292,0.176334,1.01322,0.256015
156,850.848,1,9.89285,10.26,46.9029,65.5832,0.101227,0.171248,0.940009,0.264337,0.485161,0.17187,0.991797,0.250985
157,845.237,1,9.9047,9.41729,47.6419,71.3719,0.0997904,0.170428,0.951229,0.259979,0.528775,0.167801,0.966684,0.250182
158,837.298,1,9.96352,10.3009,47.996,69.3927,0.103397,0.16449,0.948296,0.256311,0.515386,0.163552,0.963304,0.250871
159,844.067,1,9.94462,10.7947,48.2346,71.5639,0.105004,0.162512,0.960198,0.268837,0.502336,0.159411,0.94014,0.258433
160,849.788,1,9.90584,10.5437,47.7111,68.4364,0.107407,0.16618,0.938667,0.268437,0.489617,0.155375,0.999037,0.256693
161,856.821,1,9.97159,10.6796,48.0956,66.4449,0.110477,0.164691,0.946951,0.265785,0.47722,0.15144,1.06628,0.264999
162,847.847,1,9.9575,10.129,48.8118,67.0546,0.110268,0.162638,0.946136,0.259055,0.465136,0.147606,1.03929,0.258289
163,847.134,1,9.9983,10.6534,48.2004,66.996,0.108646,0.161835,0.948591,0.254939,0.526749,0.1495,1.05661,0.251749
164,841.554,1,10.0326,10.3973,48.0528,65.444,0.108177,0.15803,0.95523,0.248484,0.518317,0.145715,1.08585,0.25988
165,847.157,1,9.89881,10.3455,48.1028,68.3381,0.109721,0.15722,0.965807,0.253367,0.505193,0.142025,1.09933,0.257192
166,854.753,1,9.93704,10.6226,47.3319,64.6603,0.10902,0.165534,0.959934,0.246952,0.501066,0.14342,1.13201,0.260813
167,847.188,1,9.99475,10.4902,48.2878,66.3411,0.105684,0.167556,0.9668,0.263697,0.488379,0.139789,1.10334,0.254209
168,851.985,1,9.8948,10.3913,47.7112,65.2003,0.106753,0.16383,0.957051,0.262806,0.505245,0.150269,1.16207,0.249453
169,844.578,1,9.97109,11.3936,47.1527,59.191,0.10586,0.163239,0.952386,0.260983,0.492452,0.146464,1.13265,0.25522
170,857.192,1,9.87351,10.9681,47.6319,62.0341,0.108708,0.169151,0.942586,0.261567,0.551974,0.142756,1.13224,0.248757
171,845.77,1,9.8904,10.5188,47.8895,61.5869,0.103851,0.167589,0.949214,0.26481,0.537997,0.139141,1.10357,0.263661
172,841.853,1,9.89433,11.2608,47.9683,70.8454,0.105201,0.168244,0.938751,0.268354,0.524375,0.135618,1.07563,0.256985
173,843.951,1,9.90362,10.3632,47.4111,64.5232,0.103394,0.166423,0.953714,0.268215,0.511097,0.134871,1.06383,0.250478
174,847.692,1,9.8996,9.9494,47.8474,63.1055,0.105841,0.168664,0.94183,0.261424,0.530798,0.131456,1.09091,0.244512
175,848.281,1,10.0177,10.0423,48.0419,62.2746,0.107104,0.170092,0.949386,0.262346,0.517358,0.128128,1.06329,0.259885
176,843.592,1,9.96359,10.1035,48.5786,61.677,0.105348,0.168213,0.943231,0.255825,0.504258,0.131187,1.03636,0.255157
177,842.404,1,9.99606,9.77346,47.9958,59.5718,0.103742,0.164355,0.947068,0.251703,0.49149,0.15208,1.1148,0.248697
178,846.525,1,9.95342,9.8602,47.823,58.863,0.101786,0.168794,0.94515,0.247099,0.540543,0.153082,1.08658,0.249249
179,848.661,1,9.9135,9.51166,48.2275,63.7437,0.102693,0.168479,0.943519,0.249757,0.526856,0.167897,1.05906,0.252402
180,855.09,1,9.92097,9.65429,48.3478,67.7574,0.104341,0.171727,0.95067,0.252405,0.531284,0.163645,1.03225,0.259751
181,862.089,1,10.0082,10.1813,47.8749,68.7609,0.108035,0.170839,0.959096,0.246014,0.620985,0.16919,1.00611,0.253174
182,857.04,1,10.0177,10.0964,47.8642,66.7939,0.109961,0.16385,0.951793,0.246025,0.605261,0.164906,0.980635,0.2648
183,855.565,1,9.94847,10.0489,47.0757,67.5419,0.111645,0.164649,0.951949,0.248408,0.589936,0.160731,0.970065,0.258095
184,858.027,1,9.82751,10.4291,46.974,72.823,0.109888,0.16528,0.934079,0.258218,0.592799,0.156661,0.998804,0.253482
185,856.312,1,9.80728,11.3463,47.4569,67.7123,0.109717,0.164902,0.933443,0.253616,0.577789,0.152694,1.07343,0.247063
186,852.615,1,9.86575,10.6128,47.7265,63.4514,0.105682,0.164742,0.950873,0.252032,0.563159,0.153429,1.04625,0.256286
187,853.882,1,9.90986,10.3229,47.7552,66.353,0.10577,0.170908,0.946141,0.253985,0.548899,0.149545,1.02728,0.249797
188,857.807,1,9.90271,10.8596,48.176,69.5145,0.107906,0.174029,0.947017,0.252634,0.540851,0.145758,1.03245,0.243472
189,856.878,1,9.87896,10.2502,48.1829,81.4086,0.10576,0.176668,0.961417,0.259985,0.527157,0.154121,1.00631,0.237307
190,857.885,1,9.87749,10.6178,47.6418,77.3018,0.105888,0.174803,0.957616,0.258255,0.513809,0.150218,1.0804,0.236015
191,850.813,1,9.83399,10.7151,47.7106,79.8888,0.101309,0.171781,0.953504,0.262751,0.500799,0.155339,1.09502,0.251414
192,841.425,1,9.81133,10.9279,47.2323,78.8228,0.100341,0.167843,0.944944,0.259868,0.506809,0.151406,1.06729,0.260099
193,845.035,1,9.8373,11.1379,46.7849,76.4178,0.0983918,0.172799,0.954092,0.264834,0.493977,0.147572,1.05092,0.253513
194,844.964,1,9.83715,12.1651,46.5826,78.4104,0.103893,0.172286,0.934245,0.270144,0.487041,0.143836,1.06013,0.247094
195,841.526,1,9.73621,12.3952,46.1985,74.1391,0.103503,0.164047,0.94145,0.276559,0.520271,0.140194,1.11906,0.243149
196,841.969,1,9.69427,12.0467,46.2706,72.1849,0.105376,0.159821,0.938998,0.28863,0.507098,0.136644,1.17269,0.246899
197,832.515,1,9.70316,11.6732,46.1351,70.5092,0.100578,0.164214,0.946237,0.281777,0.494258,0.133184,1.14299,0.252597
198,850.274,1,9.74435,11.4923,47.3168,68.8326,0.10383,0.171908,0.951222,0.287978,0.488739,0.129812,1.12494,0.253059
199,859.48,1,9.65786,11.5908,47.0406,69.609,0.102999,0.180615,0.939417,0.288302,0.502339,0.13716,1.09646,0.246652
