iteration,convergenceIndicator,phase,Cl_pop,beta_Cl_logtCLCR,V1_pop,Q_pop,V2_pop,omega_Cl,omega_V1,omega_Q,corr_V1_Cl,b
178,280.352,1,2.91169,0.621712,24.5858,5.45055,315.831,0.314644,0.241533,0.276548,0.241332,0.0264357
179,273.281,1,2.88446,0.656117,24.7488,5.46066,319.532,0.306677,0.254573,0.269546,0.163152,0.0258079
180,275.799,1,2.88516,0.628335,24.855,5.50382,321.092,0.316129,0.248127,0.262721,0.193095,0.0264655
181,277.046,1,2.85917,0.654173,24.8258,5.62804,322.534,0.318336,0.241845,0.256068,0.185474,0.0264473
182,283.457,1,2.86989,0.655013,24.4313,5.49002,319.511,0.311636,0.235721,0.252894,0.225557,0.0273279
183,284.66,1,2.88036,0.653335,24.428,5.41312,314.768,0.316795,0.229752,0.250665,0.20198,0.0275954
184,279.438,1,2.89781,0.623298,24.7705,5.41192,317.227,0.310098,0.223935,0.26409,0.133728,0.0267999
185,277.725,1,2.90476,0.63115,24.7867,5.49426,315.616,0.310187,0.218265,0.257404,0.13833,0.0269072
186,286.736,1,2.89154,0.618361,24.7427,5.4946,316.849,0.314944,0.221664,0.276812,0.15756,0.0275694
187,294.949,1,2.89123,0.62875,24.4263,5.48067,315.549,0.312637,0.224603,0.284026,0.183331,0.0286208
188,291.496,1,2.94017,0.627598,24.6114,5.49254,313.146,0.308105,0.22697,0.276834,0.218626,0.0283592
189,292.279,1,2.91223,0.680758,24.8268,5.42393,315.134,0.305416,0.229689,0.269825,0.14818,0.0286233
190,295.258,1,2.94631,0.611437,24.4853,5.31941,312.179,0.298905,0.223873,0.278534,0.129644,0.0289479
191,288.797,1,2.93755,0.599408,24.5327,5.32534,314.984,0.295118,0.218204,0.271482,0.133767,0.0284497
192,291.054,1,2.95093,0.54156,24.5275,5.23657,313.169,0.308724,0.212679,0.279313,0.155496,0.0285151
193,289.239,1,2.94926,0.602967,24.6014,5.16948,312.833,0.31479,0.218696,0.27224,0.29029,0.0285231
194,287.046,1,2.92266,0.631969,25.0864,5.3995,315.032,0.329259,0.230826,0.265347,0.240762,0.027736
195,284.433,1,2.92322,0.644897,25.2888,5.4624,315.525,0.321309,0.232388,0.258628,0.243519,0.0275351
196,282.938,1,2.9144,0.662938,25.2596,5.34576,317.004,0.327272,0.237423,0.25208,0.253342,0.0272211
197,287.106,1,2.89531,0.685514,24.9948,5.33461,316.075,0.325425,0.242376,0.2595,0.223882,0.0274433
198,288.095,1,2.89196,0.662994,24.5493,5.38823,317.124,0.320174,0.236239,0.257183,0.305289,0.0279024
