iteration,convergenceIndicator,phase,Cl_pop,V1_pop,Q_pop,V2_pop,omega_Cl,omega_V1,omega_Q,omega_V2,a1,a2
156,819.402,1,5.34874,24.0895,6.90056,22.2424,0.208327,0.224652,0.731301,0.325938,0.233722,0.0633602
157,815.214,1,5.34336,24.3394,6.65742,23.2894,0.212185,0.224168,0.77783,0.317685,0.236687,0.0617559
158,823.391,1,5.33299,24.5318,6.64476,23.3568,0.210717,0.226679,0.76095,0.351023,0.237428,0.0605271
159,819.568,1,5.30816,24.323,6.78838,25.0876,0.20793,0.220939,0.769114,0.342135,0.235402,0.0611715
160,816.431,1,5.32924,23.8167,7.03037,25.3946,0.209388,0.221473,0.82153,0.346441,0.238296,0.0596226
161,816.04,1,5.32694,24.0821,6.69716,24.0057,0.205655,0.232343,0.824508,0.341786,0.236437,0.0581129
162,815.693,1,5.32472,24.0283,6.59556,23.4054,0.212211,0.263228,0.803631,0.35587,0.233421,0.0578828
163,817.944,1,5.31812,24.6329,6.23162,23.744,0.212485,0.256562,0.783283,0.346859,0.236093,0.0586431
164,826.145,1,5.312,25.001,6.24224,24.416,0.212829,0.250066,0.76345,0.353028,0.237505,0.0604584
165,827.458,1,5.34136,25.0586,6.30173,24.8887,0.208804,0.270945,0.770176,0.347361,0.238989,0.0599124
166,822.429,1,5.3552,24.1186,6.55514,24.5492,0.209963,0.281368,0.772019,0.338566,0.238454,0.0584984
167,818.138,1,5.34182,24.086,6.7979,23.6811,0.209245,0.275622,0.752471,0.329993,0.233361,0.059352
168,815.753,1,5.3482,24.0403,6.71341,23.0992,0.203947,0.268643,0.757135,0.321637,0.232354,0.0606894
169,820.104,1,5.35551,23.9132,7.06611,23.9063,0.200253,0.273477,0.750659,0.313493,0.233831,0.0607911
170,812.458,1,5.38134,24.2436,6.99125,24.0804,0.205697,0.266552,0.731651,0.313973,0.232341,0.0592519
171,820.66,1,5.3821,24.2915,6.8048,23.3855,0.210165,0.27621,0.753656,0.306023,0.231221,0.0612505
172,811.721,1,5.34338,24.3744,6.86731,23.2622,0.206507,0.269217,0.734573,0.298274,0.22978,0.0609285
173,818.556,1,5.3465,24.7776,6.7135,22.8211,0.207477,0.266527,0.715973,0.305935,0.231296,0.0615449
174,821.213,1,5.36685,25.1935,6.63746,23.6665,0.205867,0.262355,0.705598,0.335098,0.23113,0.0614811
175,828.108,1,5.36836,24.5369,6.49022,24.5401,0.2032,0.255712,0.711018,0.338441,0.233675,0.0634192
176,827.088,1,5.36527,24.2639,7.05804,23.9078,0.205371,0.249237,0.778854,0.371856,0.230606,0.0626843
177,831.442,1,5.35469,24.1077,7.23239,24.13,0.204078,0.25203,0.786068,0.36244,0.233542,0.063166
178,828.111,1,5.33691,23.4388,6.80567,24.0313,0.205407,0.245648,0.815914,0.353263,0.234193,0.0624676
179,823.776,1,5.33412,23.3968,7.14001,24.0308,0.210334,0.239428,0.898491,0.348146,0.231417,0.061103
180,824.954,1,5.31486,23.4866,6.76317,24.9307,0.209148,0.233366,0.87574,0.33933,0.235639,0.062652
181,824.981,1,5.34884,24.0456,6.97108,24.8806,0.207736,0.227457,0.853566,0.330738,0.234842,0.0622635
182,820.456,1,5.33616,23.9534,6.78657,25.4713,0.209369,0.221697,0.831953,0.322364,0.234742,0.0622905
183,822.8,1,5.33117,23.9671,6.96223,24.5157,0.206217,0.216084,0.810888,0.314201,0.232058,0.0640737
184,817.685,1,5.32432,24.1364,7.03448,23.1819,0.212448,0.232596,0.79055,0.308549,0.233257,0.0624513
185,818.697,1,5.3383,24.3952,7.00711,22.497,0.210782,0.226706,0.815015,0.300736,0.230551,0.0622208
186,813.604,1,5.35016,24.3438,6.95664,22.8657,0.212415,0.231426,0.794378,0.293122,0.230936,0.0606454
187,816.964,1,5.33576,24.472,6.70828,23.4784,0.208433,0.240997,0.792589,0.2857,0.231605,0.061781
188,821.742,1,5.33248,24.4855,6.96816,23.9171,0.210263,0.234894,0.812412,0.299538,0.227974,0.0632206
189,817.308,1,5.33517,24.1297,6.75355,24.0054,0.213849,0.240828,0.791842,0.291954,0.230322,0.0616198
190,813.773,1,5.36257,24.5143,6.72284,24.1622,0.212507,0.239923,0.771792,0.284561,0.233918,0.0608512
191,815.515,1,5.33042,23.7588,6.97492,23.3639,0.209194,0.234365,0.762934,0.277356,0.236783,0.0604184
192,813.828,1,5.33768,24.0544,6.74676,23.4331,0.207064,0.244183,0.744059,0.271866,0.235507,0.0599798
193,819.795,1,5.38162,24.3171,6.79198,23.2208,0.204747,0.252162,0.755306,0.264982,0.237757,0.0614505
194,813.688,1,5.33243,24.2816,6.62675,23.3509,0.202564,0.245778,0.736562,0.258273,0.236313,0.0614515
195,813.839,1,5.32498,24.1892,6.55333,23.5058,0.203091,0.24027,0.717912,0.251733,0.232964,0.0630652
196,813.148,1,5.34512,24.3928,6.37704,24.4508,0.20411,0.241135,0.699734,0.264901,0.23415,0.0614683
197,809.414,1,5.35407,24.9786,6.18131,24.2256,0.205817,0.252636,0.733886,0.258194,0.233341,0.0600844
198,809.392,1,5.33589,24.6442,6.18151,24.9345,0.202115,0.24624,0.784838,0.251656,0.234552,0.05964
199,816.212,1,5.33743,24.694,6.5835,24.9749,0.207856,0.240005,0.792597,0.278635,0.230288,0.0618245
200,815.4,1,5.35001,24.0867,6.66448,23.4488,0.213196,0.233928,0.845458,0.27158,0.23475,0.0603451
201,814.467,1,5.34746,23.994,7.31779,23.2284,0.207798,0.228445,0.833841,0.264704,0.237024,0.0599915
202,818.378,1,5.34565,24.2957,6.71823,21.7748,0.206359,0.248972,0.812728,0.289174,0.232244,0.0609196
203,823.278,1,5.33421,24.2678,6.71493,21.8705,0.210857,0.242667,0.877921,0.289171,0.236061,0.0608455
204,815.173,1,5.3232,23.836,6.98277,21.906,0.207919,0.236523,0.856513,0.281849,0.236036,0.0605916
205,819.829,1,5.30858,24.1848,6.48368,22.7892,0.205784,0.230534,0.855929,0.274712,0.23364,0.0633187
206,813.702,1,5.32705,24.1842,6.33558,23.4863,0.208042,0.232724,0.853642,0.267757,0.233934,0.0617155
207,829.887,1,5.33496,24.2287,6.81581,24.2961,0.206217,0.226831,0.853628,0.292694,0.234353,0.0647381
208,818.663,1,5.34173,24.2134,6.694,23.6117,0.207352,0.239823,0.832014,0.285282,0.23448,0.0630989
209,819.898,1,5.34793,24.4559,6.56853,24.7026,0.207695,0.239639,0.810947,0.296016,0.234989,0.0615012
210,823.605,1,5.34685,24.7493,6.61747,24.8013,0.206479,0.257803,0.790413,0.288521,0.236336,0.0631437
211,819.44,1,5.34109,24.461,6.58361,24.5016,0.214568,0.251275,0.770399,0.281215,0.236351,0.0615448
212,815.418,1,5.33649,24.7443,6.41606,24.5413,0.211939,0.244913,0.750892,0.274095,0.230367,0.0627099
213,821.175,1,5.33487,24.968,6.0516,23.7935,0.211534,0.253823,0.744836,0.268672,0.230766,0.0631043
