trans_Cl_vs_CLCRMLMIN_abscissa,trans_Cl_vs_CLCRMLMIN_spline,trans_Cl_vs_CLCRMLMIN_regression,trans_Cl_vs_WTKG_abscissa,trans_Cl_vs_WTKG_spline,trans_Cl_vs_WTKG_regression,trans_Cl_vs_logtCLCRMLMIN_abscissa,trans_Cl_vs_logtCLCRMLMIN_spline,trans_Cl_vs_logtCLCRMLMIN_regression,trans_Q_vs_CLCRMLMIN_abscissa,trans_Q_vs_CLCRMLMIN_spline,trans_Q_vs_CLCRMLMIN_regression,trans_Q_vs_WTKG_abscissa,trans_Q_vs_WTKG_spline,trans_Q_vs_WTKG_regression,trans_Q_vs_logtCLCRMLMIN_abscissa,trans_Q_vs_logtCLCRMLMIN_spline,trans_Q_vs_logtCLCRMLMIN_regression,trans_V1_vs_CLCRMLMIN_abscissa,trans_V1_vs_CLCRMLMIN_spline,trans_V1_vs_CLCRMLMIN_regression,trans_V1_vs_WTKG_abscissa,trans_V1_vs_WTKG_spline,trans_V1_vs_WTKG_regression,trans_V1_vs_logtCLCRMLMIN_abscissa,trans_V1_vs_logtCLCRMLMIN_spline,trans_V1_vs_logtCLCRMLMIN_regression,trans_V2_vs_CLCRMLMIN_abscissa,trans_V2_vs_CLCRMLMIN_spline,trans_V2_vs_CLCRMLMIN_regression,trans_V2_vs_WTKG_abscissa,trans_V2_vs_WTKG_spline,trans_V2_vs_WTKG_regression,trans_V2_vs_logtCLCRMLMIN_abscissa,trans_V2_vs_logtCLCRMLMIN_spline,trans_V2_vs_logtCLCRMLMIN_regression,split
140.221,1.71812,1.62346,65.5758,1.6176,1.67668,-0.0889931,1.53389,1.60022,140.221,2.36305,1.76795,65.5758,1.97864,1.77896,-0.0889931,1.58509,1.78086,140.221,3.2704,3.0207,65.5758,2.97453,3.03097,-0.0889931,2.92493,3.01673,140.221,3.27959,3.19407,65.5758,3.18014,3.18922,-0.0889931,3.05735,3.19572,All
141.238,1.73116,1.62758,65.899,1.61659,1.68021,-0.0818272,1.56541,1.60464,141.238,2.19376,1.76576,65.899,2.00212,1.78071,-0.0818272,1.63707,1.77844,141.238,3.22912,3.02098,65.899,2.97963,3.03182,-0.0818272,2.92191,3.01731,141.238,3.24593,3.19394,65.899,3.19364,3.18882,-0.0818272,3.04764,3.19547,All
142.256,1.74419,1.6317,66.2222,1.61557,1.68374,-0.0746613,1.59693,1.60906,142.256,2.02446,1.76357,66.2222,2.02561,1.78246,-0.0746613,1.68906,1.77603,142.256,3.18784,3.02126,66.2222,2.98473,3.03267,-0.0746613,2.91889,3.01788,142.256,3.21226,3.1938,66.2222,3.20715,3.18842,-0.0746613,3.03793,3.19522,All
143.273,1.75723,1.63581,66.5455,1.61456,1.68727,-0.0674954,1.62408,1.61348,143.273,1.85517,1.76137,66.5455,2.04909,1.78421,-0.0674954,1.75808,1.77361,143.273,3.14656,3.02154,66.5455,2.98983,3.03353,-0.0674954,2.93532,3.01846,143.273,3.1786,3.19367,66.5455,3.22066,3.18802,-0.0674954,3.04423,3.19498,All
144.29,1.76062,1.63993,66.8687,1.61355,1.6908,-0.0603295,1.64164,1.6179,144.29,1.77539,1.75918,66.8687,2.07257,1.78596,-0.0603295,1.86451,1.7712,144.29,3.1242,3.02182,66.8687,2.99493,3.03438,-0.0603295,2.99446,3.01904,144.29,3.16409,3.19353,66.8687,3.23417,3.18762,-0.0603295,3.0857,3.19473,All
145.307,1.75362,1.64404,67.1919,1.61645,1.69433,-0.0531636,1.6592,1.62233,145.307,1.79195,1.75699,67.1919,2.07817,1.78771,-0.0531636,1.97093,1.76878,145.307,3.12222,3.0221,67.1919,2.99857,3.03523,-0.0531636,3.05361,3.01962,145.307,3.17021,3.19339,67.1919,3.23815,3.18721,-0.0531636,3.12718,3.19448,All
146.324,1.74663,1.64816,67.5152,1.62204,1.69786,-0.0459977,1.67676,1.62675,146.324,1.80851,1.7548,67.5152,2.07154,1.78946,-0.0459977,2.07736,1.76636,146.324,3.12023,3.02238,67.5152,3.0012,3.03609,-0.0459977,3.11276,3.02019,146.324,3.17632,3.19326,67.5152,3.23562,3.18681,-0.0459977,3.16865,3.19423,All
147.341,1.73963,1.65228,67.8384,1.62762,1.70139,-0.0388318,1.69433,1.63117,147.341,1.82507,1.7526,67.8384,2.06491,1.79121,-0.0388318,2.18379,1.76395,147.341,3.11824,3.02266,67.8384,3.00384,3.03694,-0.0388318,3.17191,3.02077,147.341,3.18244,3.19312,67.8384,3.23308,3.18641,-0.0388318,3.21013,3.19399,All
148.359,1.73264,1.65639,68.1616,1.63321,1.70492,-0.0316658,1.71189,1.63559,148.359,1.84162,1.75041,68.1616,2.05828,1.79296,-0.0316658,2.29022,1.76153,148.359,3.11625,3.02294,68.1616,3.00647,3.0378,-0.0316658,3.23105,3.02135,148.359,3.18856,3.19299,68.1616,3.23055,3.18601,-0.0316658,3.2516,3.19374,All
149.376,1.72564,1.66051,68.4848,1.63879,1.70845,-0.0244999,1.72807,1.64001,149.376,1.85818,1.74822,68.4848,2.05165,1.79471,-0.0244999,2.31028,1.75911,149.376,3.11426,3.02321,68.4848,3.00911,3.03865,-0.0244999,3.25879,3.02193,149.376,3.19468,3.19285,68.4848,3.22801,3.18561,-0.0244999,3.26954,3.19349,All
