iteration,convergenceIndicator,phase,Cl_pop,V_pop,a1,a2,f_pop,omega_Cl,omega_V,omega_f
269,999.813,1,10.2684,55.1301,3.46418,3.21933,0.934419,0.255706,0.183921,0.225602
270,994.254,1,10.2759,54.4051,3.36402,3.29189,0.918147,0.256729,0.159473,0.223006
271,998.371,1,10.2655,54.125,3.37666,3.37127,0.917118,0.255179,0.175838,0.195105
272,988.068,1,10.1149,53.6912,3.29305,3.29014,0.896212,0.240927,0.176368,0.20013
273,990.168,1,10.2821,53.0406,3.29036,3.30406,0.900917,0.258038,0.181212,0.191505
274,990.441,1,10.002,53.2961,3.31087,3.29785,0.877296,0.24982,0.177529,0.197917
275,998.039,1,9.99427,53.4915,3.39142,3.29077,0.884669,0.257038,0.185668,0.207644
276,988.548,1,10.1389,54.055,3.34103,3.24194,0.902701,0.255776,0.170669,0.198571
277,984.981,1,10.0767,53.8026,3.39184,3.24358,0.910304,0.259344,0.142792,0.186281
278,987.585,1,10.0994,54.6057,3.43764,3.23924,0.91346,0.260159,0.14077,0.189163
279,991.232,1,10.0585,54.6946,3.59152,3.23449,0.888517,0.244196,0.140627,0.171914
280,983.535,1,10.1199,54.0673,3.39308,3.24363,0.900424,0.24865,0.147136,0.177542
281,988.034,1,10.0974,54.8657,3.4355,3.2341,0.900014,0.244745,0.152964,0.190915
282,981.724,1,10.0901,55.0632,3.33897,3.23375,0.908032,0.237171,0.147247,0.198775
283,991.11,1,10.1742,54.0369,3.38176,3.37553,0.909303,0.250265,0.13486,0.196357
284,983.137,1,10.0751,54.4389,3.40807,3.21331,0.902399,0.254547,0.132415,0.196589
285,991.451,1,10.1325,54.3801,3.45613,3.29879,0.912909,0.251367,0.137137,0.196283
286,992.545,1,10.1814,54.1993,3.40331,3.37929,0.894747,0.248416,0.141795,0.188156
