iteration,convergenceIndicator,phase,Cl_pop,Q_pop,V1_pop,V2_pop,a1,a2,beta_Cl_logtWTKG,beta_Cl_tCLCRMLMIN,corr_V2_V1,omega_Cl,omega_Q,omega_V1,omega_V2
82,819.699,1,6.01669,12.9484,42.3829,37.8681,0.269786,0.125258,0.744129,0.566203,0.998761,0.187887,0.505271,0.269631,0.215723
83,814.022,1,6.01732,12.6902,43.7025,38.8241,0.266427,0.122087,0.737733,0.557761,0.998761,0.18313,0.492477,0.274788,0.219241
84,813.783,1,5.9469,12.4046,44.5045,39.4061,0.272544,0.118995,0.685067,0.569405,0.998761,0.178493,0.480008,0.288406,0.230003
85,809.253,1,6.01482,12.2652,44.911,39.6238,0.270792,0.115982,0.724511,0.56461,0.998761,0.173973,0.467854,0.286964,0.22888
86,802.058,1,6.13068,11.2012,44.4376,39.2997,0.272172,0.113045,0.754455,0.542995,0.998761,0.169568,0.456007,0.279698,0.223084
87,801.37,1,5.94345,11.4144,44.4995,39.3136,0.270423,0.110183,0.827815,0.572429,0.998761,0.167295,0.507785,0.272616,0.217436
88,794.395,1,5.971,11.3101,44.6082,39.387,0.272427,0.107393,0.776378,0.571173,0.998761,0.163059,0.508415,0.265713,0.21193
89,800.958,1,6.02601,12.4183,43.6764,38.8855,0.274392,0.104674,0.739263,0.558356,0.998761,0.160205,0.570012,0.258985,0.206564
90,789.284,1,6.04239,11.1995,43.8479,38.978,0.275896,0.102024,0.733944,0.553061,0.998761,0.15809,0.555579,0.255351,0.20607
91,791.784,1,6.17577,11.2964,44.7257,39.646,0.277033,0.0994403,0.77395,0.537373,0.998761,0.163623,0.541512,0.279475,0.222516
92,786.597,1,6.1222,10.9578,44.7582,39.6708,0.274367,0.0969224,0.744079,0.552181,0.998761,0.161983,0.5278,0.275923,0.220539
93,786.284,1,6.07017,11.4732,44.6922,39.5761,0.281598,0.0944682,0.757158,0.558077,0.998761,0.172572,0.514436,0.275407,0.218139
94,788.701,1,5.88856,11.7451,44.4446,39.4256,0.276384,0.0920763,0.744491,0.586018,0.998761,0.168203,0.50141,0.277962,0.221324
95,788.972,1,5.86377,11.1233,44.8293,39.7838,0.280563,0.0897448,0.833352,0.586079,0.998761,0.17047,0.488714,0.278002,0.222246
