standEta_Cl_abscissa,standEta_Cl_cdf,standEta_Q_abscissa,standEta_Q_cdf,standEta_V2_abscissa,standEta_V2_cdf,split
-2.71739,0.0402857,-2.07528,0.0404286,-1.71084,0.0402857,All
-2.71661,0.0404286,-2.07528,0.0405714,-1.70785,0.0404286,All
-2.71635,0.0405714,-2.07115,0.0407143,-1.70751,0.0405714,All
-2.71605,0.0407143,-2.07051,0.0408571,-1.70683,0.0407143,All
-2.71507,0.0408571,-2.06182,0.041,-1.7067,0.0408571,All
-2.71471,0.041,-2.06052,0.0411429,-1.69804,0.041,All
-2.71471,0.0411429,-2.05691,0.0412857,-1.69804,0.0411429,All
-2.71202,0.0412857,-2.05078,0.0414286,-1.69546,0.0412857,All
-2.71001,0.0414286,-2.04871,0.0415714,-1.68866,0.0414286,All
-2.70882,0.0415714,-2.04871,0.0417143,-1.68823,0.0415714,All
-2.70798,0.0417143,-2.04833,0.0418571,-1.68823,0.0417143,All
-2.70753,0.0418571,-2.04819,0.042,-1.68748,0.0418571,All
-2.70746,0.042,-2.04819,0.0421429,-1.68716,0.042,All
-2.70746,0.0421429,-2.04773,0.0422857,-1.6845,0.0421429,All
-2.70619,0.0422857,-2.04658,0.0424286,-1.6845,0.0422857,All
-2.706,0.0424286,-2.04394,0.0425714,-1.68298,0.0424286,All
-2.70595,0.0425714,-2.04376,0.0427143,-1.67987,0.0425714,All
-2.70574,0.0427143,-2.04376,0.0428571,-1.67977,0.0427143,All
-2.70573,0.0428571,-2.04189,0.043,-1.67744,0.0428571,All
-2.70406,0.043,-2.04189,0.0431429,-1.6758,0.043,All
-2.7028,0.0431429,-2.03831,0.0432857,-1.6757,0.0431429,All
-2.70004,0.0432857,-2.03815,0.0434286,-1.67563,0.0432857,All
-2.69892,0.0434286,-2.03691,0.0435714,-1.67463,0.0434286,All
-2.69881,0.0435714,-2.03659,0.0437143,-1.67463,0.0435714,All
-2.6986,0.0437143,-2.03659,0.0438571,-1.67395,0.0437143,All
-2.69803,0.0438571,-2.03587,0.044,-1.67376,0.0438571,All
-2.69803,0.044,-2.02832,0.0441429,-1.6715,0.044,All
-2.69673,0.0441429,-2.02685,0.0442857,-1.66991,0.0441429,All
-2.69557,0.0442857,-2.02376,0.0444286,-1.66944,0.0442857,All
-2.69468,0.0444286,-2.02376,0.0445714,-1.66942,0.0444286,All
-2.69228,0.0445714,-2.02003,0.0447143,-1.66653,0.0445714,All
-2.692,0.0447143,-2.01637,0.0448571,-1.6652,0.0447143,All
-2.69182,0.0448571,-2.01583,0.045,-1.66465,0.0448571,All
-2.69182,0.045,-2.01583,0.0451429,-1.66426,0.045,All
-2.69169,0.0451429,-2.01569,0.0452857,-1.66367,0.0451429,All
-2.6913,0.0452857,-2.01481,0.0454286,-1.6628,0.0452857,All
-2.69127,0.0454286,-2.01234,0.0455714,-1.6628,0.0454286,All
-2.6905,0.0455714,-2.00863,0.0457143,-1.66197,0.0455714,All
-2.68802,0.0457143,-2.00863,0.0458571,-1.66019,0.0457143,All
-2.68786,0.0458571,-2.00853,0.046,-1.6574,0.0458571,All
-2.68782,0.046,-2.00099,0.0461429,-1.65731,0.046,All
-2.68675,0.0461429,-1.99956,0.0462857,-1.6564,0.0461429,All
-2.68516,0.0462857,-1.9994,0.0464286,-1.65627,0.0462857,All
-2.68292,0.0464286,-1.9994,0.0465714,-1.65184,0.0464286,All
-2.6829,0.0465714,-1.99824,0.0467143,-1.64829,0.0465714,All
-2.68272,0.0467143,-1.99824,0.0468571,-1.64822,0.0467143,All
-2.68271,0.0468571,-1.99561,0.047,-1.64754,0.0468571,All
-2.68201,0.047,-1.99447,0.0471429,-1.64537,0.047,All
-2.68045,0.0471429,-1.99006,0.0472857,-1.64238,0.0471429,All
-2.68044,0.0472857,-1.98975,0.0474286,-1.64238,0.0472857,All
-2.67789,0.0474286,-1.98972,0.0475714,-1.64142,0.0474286,All
-2.67695,0.0475714,-1.98301,0.0477143,-1.63807,0.0475714,All
-2.67373,0.0477143,-1.98284,0.0478571,-1.6374,0.0477143,All
-2.67004,0.0478571,-1.98269,0.048,-1.6323,0.0478571,All
-2.6683,0.048,-1.98269,0.0481429,-1.6311,0.048,All
-2.66784,0.0481429,-1.9826,0.0482857,-1.62852,0.0481429,All
-2.66553,0.0482857,-1.9826,0.0484286,-1.62737,0.0482857,All
-2.66218,0.0484286,-1.98209,0.0485714,-1.62737,0.0484286,All
-2.66111,0.0485714,-1.97744,0.0487143,-1.62635,0.0485714,All
-2.66084,0.0487143,-1.96341,0.0488571,-1.62414,0.0487143,All
-2.65935,0.0488571,-1.96256,0.049,-1.62411,0.0488571,All
-2.6592,0.049,-1.95809,0.0491429,-1.62382,0.049,All
-2.65904,0.0491429,-1.95746,0.0492857,-1.62382,0.0491429,All
-2.65841,0.0492857,-1.95736,0.0494286,-1.62382,0.0492857,All
-2.65564,0.0494286,-1.95674,0.0495714,-1.62369,0.0494286,All
-2.6544,0.0495714,-1.95674,0.0497143,-1.62311,0.0495714,All
-2.65171,0.0497143,-1.95273,0.0498571,-1.62073,0.0497143,All
-2.65171,0.0498571,-1.95273,0.05,-1.61809,0.0498571,All
-2.64891,0.05,-1.95184,0.0501429,-1.61737,0.05,All
-2.64781,0.0501429,-1.95184,0.0502857,-1.61737,0.0501429,All
-2.64418,0.0502857,-1.94274,0.0504286,-1.61606,0.0502857,All
-2.6425,0.0504286,-1.94243,0.0505714,-1.61514,0.0504286,All
-2.64241,0.0505714,-1.93545,0.0507143,-1.6149,0.0505714,All
-2.64115,0.0507143,-1.93432,0.0508571,-1.61371,0.0507143,All
-2.63944,0.0508571,-1.93432,0.051,-1.61147,0.0508571,All
-2.63944,0.051,-1.93416,0.0511429,-1.61026,0.051,All
-2.63908,0.0511429,-1.93416,0.0512857,-1.60905,0.0511429,All
-2.63908,0.0512857,-1.9332,0.0514286,-1.60894,0.0512857,All
-2.63717,0.0514286,-1.93213,0.0515714,-1.60804,0.0514286,All
-2.63717,0.0515714,-1.92984,0.0517143,-1.60748,0.0515714,All
-2.63707,0.0517143,-1.92813,0.0518571,-1.6007,0.0517143,All
-2.63682,0.0518571,-1.92646,0.052,-1.59993,0.0518571,All
-2.63586,0.052,-1.92646,0.0521429,-1.59974,0.052,All
-2.6353,0.0521429,-1.92101,0.0522857,-1.59382,0.0521429,All
-2.63425,0.0522857,-1.91604,0.0524286,-1.59343,0.0522857,All
