standEta_fi_abscissa,standEta_fi_cdf,standEta_Cl_abscissa,standEta_Cl_cdf,standEta_V1_abscissa,standEta_V1_cdf,standEta_Q2_abscissa,standEta_Q2_cdf,standEta_V2_abscissa,standEta_V2_cdf,standEta_Q3_abscissa,standEta_Q3_cdf,standEta_V3_abscissa,standEta_V3_cdf,split
0.168993,0.607143,0.379293,0.607143,0.142232,0.607143,0.151109,0.607143,0.335018,0.607143,0.2741,0.607143,0.342571,0.607143,All
0.180585,0.614286,0.486603,0.614286,0.158028,0.614286,0.183651,0.614286,0.347433,0.614286,0.298565,0.614286,0.36461,0.614286,All
0.185211,0.621429,0.50704,0.621429,0.164937,0.621429,0.184326,0.621429,0.351831,0.621429,0.300291,0.621429,0.377208,0.621429,All
0.188962,0.628571,0.521813,0.628571,0.189892,0.628571,0.201369,0.628571,0.365439,0.628571,0.305216,0.628571,0.378825,0.628571,All
0.207473,0.635714,0.524926,0.635714,0.204106,0.635714,0.261985,0.635714,0.408076,0.635714,0.344129,0.635714,0.381354,0.635714,All
0.236564,0.642857,0.549437,0.642857,0.213556,0.642857,0.278487,0.642857,0.409662,0.642857,0.385104,0.642857,0.383604,0.642857,All
0.255094,0.65,0.558268,0.65,0.250758,0.65,0.295658,0.65,0.413823,0.65,0.388575,0.65,0.397941,0.65,All
0.320137,0.657143,0.567079,0.657143,0.258818,0.657143,0.300119,0.657143,0.45266,0.657143,0.401741,0.657143,0.419544,0.657143,All
0.340897,0.664286,0.5823,0.664286,0.290741,0.664286,0.348228,0.664286,0.46106,0.664286,0.414533,0.664286,0.471773,0.664286,All
0.350487,0.671429,0.604819,0.671429,0.303763,0.671429,0.356275,0.671429,0.464245,0.671429,0.417099,0.671429,0.473913,0.671429,All
0.372533,0.678571,0.63672,0.678571,0.312851,0.678571,0.363144,0.678571,0.493892,0.678571,0.482313,0.678571,0.494631,0.678571,All
0.377918,0.685714,0.639604,0.685714,0.388206,0.685714,0.384165,0.685714,0.505661,0.685714,0.559924,0.685714,0.500371,0.685714,All
0.415518,0.692857,0.642523,0.692857,0.394578,0.692857,0.414325,0.692857,0.508854,0.692857,0.589274,0.692857,0.545888,0.692857,All
0.487489,0.7,0.650656,0.7,0.402818,0.7,0.433071,0.7,0.511536,0.7,0.614318,0.7,0.552523,0.7,All
0.508621,0.707143,0.655218,0.707143,0.430992,0.707143,0.44698,0.707143,0.516312,0.707143,0.615098,0.707143,0.553047,0.707143,All
0.511629,0.714286,0.67152,0.714286,0.447523,0.714286,0.448,0.714286,0.534813,0.714286,0.62396,0.714286,0.558917,0.714286,All
0.54198,0.721429,0.683133,0.721429,0.487178,0.721429,0.466598,0.721429,0.541393,0.721429,0.688581,0.721429,0.578425,0.721429,All
0.559543,0.728571,0.692674,0.728571,0.491263,0.728571,0.500814,0.728571,0.555494,0.728571,0.700098,0.728571,0.633779,0.728571,All
0.566656,0.735714,0.706307,0.735714,0.506769,0.735714,0.512419,0.735714,0.586444,0.735714,0.723872,0.735714,0.660724,0.735714,All
0.661668,0.742857,0.713314,0.742857,0.529183,0.742857,0.519963,0.742857,0.588747,0.742857,0.73668,0.742857,0.691778,0.742857,All
0.728026,0.75,0.72597,0.75,0.569857,0.75,0.542713,0.75,0.589099,0.75,0.749843,0.75,0.745309,0.75,All
0.751063,0.757143,0.734016,0.757143,0.574695,0.757143,0.54587,0.757143,0.618419,0.757143,0.754479,0.757143,0.806626,0.757143,All
0.757275,0.764286,0.756149,0.764286,0.582635,0.764286,0.547406,0.764286,0.666011,0.764286,0.756111,0.764286,0.811885,0.764286,All
0.797473,0.771429,0.76368,0.771429,0.589463,0.771429,0.582649,0.771429,0.678253,0.771429,0.762067,0.771429,0.834557,0.771429,All
0.803899,0.778571,0.764886,0.778571,0.654002,0.778571,0.599371,0.778571,0.687383,0.778571,0.76422,0.778571,0.865518,0.778571,All
0.815214,0.785714,0.766129,0.785714,0.661096,0.785714,0.641436,0.785714,0.735101,0.785714,0.788694,0.785714,0.886971,0.785714,All
0.818868,0.792857,0.787346,0.792857,0.664359,0.792857,0.676988,0.792857,0.754208,0.792857,0.792493,0.792857,0.895168,0.792857,All
0.82378,0.8,0.805035,0.8,0.675047,0.8,0.684141,0.8,0.760935,0.8,0.838306,0.8,0.910664,0.8,All
0.837334,0.807143,0.827478,0.807143,0.722035,0.807143,0.702485,0.807143,0.82696,0.807143,0.925669,0.807143,0.970019,0.807143,All
0.846875,0.814286,0.832842,0.814286,0.727917,0.814286,0.718793,0.814286,0.831334,0.814286,0.955922,0.814286,1.06197,0.814286,All
0.863861,0.821429,0.834774,0.821429,0.732586,0.821429,0.842174,0.821429,0.832406,0.821429,0.957668,0.821429,1.11174,0.821429,All
0.911484,0.828571,0.838954,0.828571,0.744171,0.828571,0.850868,0.828571,0.834979,0.828571,1.04445,0.828571,1.12275,0.828571,All
0.951957,0.835714,0.842849,0.835714,0.762907,0.835714,0.884876,0.835714,0.924949,0.835714,1.05235,0.835714,1.1356,0.835714,All
0.953436,0.842857,0.85539,0.842857,0.774681,0.842857,0.910423,0.842857,0.930811,0.842857,1.06096,0.842857,1.14487,0.842857,All
0.976662,0.85,0.857064,0.85,0.783655,0.85,0.963412,0.85,0.935933,0.85,1.10754,0.85,1.16552,0.85,All
0.977081,0.857143,0.870117,0.857143,0.789471,0.857143,1.022,0.857143,0.945975,0.857143,1.19512,0.857143,1.16768,0.857143,All
0.988297,0.864286,0.872186,0.864286,0.798869,0.864286,1.0358,0.864286,0.959953,0.864286,1.22952,0.864286,1.17433,0.864286,All
1.00411,0.871429,0.872713,0.871429,0.961393,0.871429,1.0438,0.871429,0.97138,0.871429,1.26572,0.871429,1.20539,0.871429,All
1.02078,0.878571,0.87638,0.878571,0.97298,0.878571,1.07508,0.878571,1.00657,0.878571,1.27434,0.878571,1.24781,0.878571,All
1.06483,0.885714,0.891108,0.885714,0.988872,0.885714,1.08438,0.885714,1.05482,0.885714,1.2966,0.885714,1.25332,0.885714,All
